codigo,Tipología de Oficina,Red,Fecha de Apertura,Nombre,Cantidad Puntos de Atención,Dirección,Indicativo,Teléfono Oficina,Fax,codigoOficina,Nombre Oficina Adscrita,Servilinea,Cliente Externo,Abreviado,Código Dane,Municipio,Departamento,Tipo de Ciudad,Uso del suelo,Región,Zona Comercial,Gerencia Administrativa,Horario Normal,Horario Adicional,Servicio Prestado en Horario Adicional,Atencion a personas con Discapacidad,Servicaja,Cajero Automático,Depositario,Kioscos,Multifuncionales ,Servilinea,Internet,Cantidad de filas propuestas ,Fila Invitados ,Fila Preferencial,Fila Clientes,Fila Tarjeta Verde
136,Oficina,PMP,03-jul.-18,Barbosa,1,Carrera 10 No. 13-56,,7481342 - 7481718 Cel JDS:3166167235,,,,,,,,Barbosa,Santander ,,,Oriente,Boyacá y Norte de Cundinamarca ,Oriente,Lunes a viernes  8:00 a.m. - 11:30 a.m. / 2:00 p.m. a 4:30 p.m,No,,,,,,,,,,,,,,
137,Oficina,PMP,23-sep.-65,Arauca,1,Calle 21 N° 19 - 28,57,8 852238 - 8 882268 - 8 852085 - Cel. Gerente: 318 5230687 - Cel JDS:3183745791,,,,0-18000518877,, 42078 - 42209-42210,81001,Arauca,Arauca,Población,Comercial,Oriente,OR -5 Norte de Santander - Arauca,Oriente,Lunes a Viernes    8:00 a.m. - 11:30 a.m. / 2:00 p.m. - 4:30 p.m.,Lunes a Viernes 5:30 p.m. - 8:00 p.m.   / Sábado 9:00 a.m. -12:00 m.,Caja / Plataforma,No,NO,2,0,0,0,Sí,No,3,X,X,X,
138,Oficina,PMP,25-abr.-05,Armenia,1,Avenida Bolívar 1A-86,56,7 359933 - 7 359934 - 7 359935 - 7 357372 - Cel. Gerente: 318 8134664 - Cel JDS:3163205033,,,,7 459700,,42063 - 42211 - 42212,63001,Armenia,Quindío,Intermedia,Comercial,Antioquia,AN-8 Quindío,Antioquia,Lunes a Jueves  8:00 a.m. - 11:30  a.m.  /  2:00  p.m.  -  4:00  p.m.       Viernes 8:00 a.m. - 11:30 a.m.   /   2:00 p.m. -  4:30 p.m. ,NO,,No,NO,2,0,0,0,Sí,No,3,X,X,X,
139,Oficina,MB,Al 31 de Enero,Patio Bonito,1,Calle 38 Sur N° 86 A 18,51,3 077000 Cód.139 - 4 537859 - 4 548314 - 4 534619-4 534620  - Cel. Gerente: 317 3805553 - Cel JDS:3162852869,,,,3 820000  ,3077000 + Cód.. Oficina,44139,11001,Bogotá D.C.,Bogotá D.C.,Principal,Comercial,Bogotá Sur,BS - 05 Bogotá - Occidente,Bogotá Sur,Lunes a Viernes    9:00 a.m. - 3:30 p.m.   Fin de mes   9:00 a.m. - 3:00 p.m.,NO,,No,NO,2,0,0,0,Sí,No,2,X,X,,
140,Oficina,PMP,03/03/1986,Lérida,1,Carrera 5 N° 7-81,58,2 890263 - 2 890972 - 2 891004 - Cel. Gerente: 315 7399363-Cel. Jds:: 318 2064131 - Cel JDS:3162959066,,,,2 622990,,42045 - 42093,73408,Lérida,Tolima,Población,Comercial,Central, CE - 7 Tolima,Central,Lunes a Jueves    8:00 a.m. - 11:30 a.m.  / 2:00 p.m - 4:00 p.m. ó 4:30 p.m    Si es Viernes. Fin de Mes 8:00 a.m. - 11:30 a.m / 2:00 p.m - 4:00 p.m. ó 4:30 p.m si es último día de la semana.,NO,,No,NO,2,0,0,0,No,No,2,X,X,,
141,Oficina,PMP,14-jul.-97,Banco de Bogotá Pinares,1,Carrera 19 N° 8 -13 Locales 6 y 7,56,3 257937-3 240616 - Cel. Gerente: 318 3758156 - Cel JDS:3173826751,,,,3 348383,,,66001,Pereira,Risaralda,Intermedia,Comercial,Antioquia,AN-9  Risaralda,Antioquia,Lunes a Jueves    8:00 a.m. -11:30  a.m.  / 2:00  p.m.  -  4:00 p.m.                 Viernes 8:00 a.m.  - 11:30 a.m.    /  2:00 p.m. -  4:30 p.m.            Fin de mes Horario normal,No,Caja / Plataforma,No,NO,2,0,0,0,Sí,No,3,X,X,X,
142,Oficina,PMP,01/12/2005,Jardín Plaza,1,Carrera 98 N° 16-200 Locales 64-65-66 y 67 ,52,4 899838 - 4 899840 - Cel. Gerente: 316 3921732 ,,,,8 980077,,,76001,Cali,Valle del Cauca,Principal,Centro Comercial,Occidente,OCC - 5 Cali - Sur,Occidente,"LLunes a jueves y fin de mes  8:00 a.m. - 11:30 a.m. / 2:00 p.m. - 4:00 p.m.   
Viernes de 8:00 a.m. a  11:30 a.m. y de 2:00 p.m. a 4:30 p.m. ",No,Caja,No,NO,3,0,0,0,Sí,No,3,X,X,X,
143,Oficina,MB,Al 31 de Enero,Bosa,1,Transversal 78L N° 69C-68 Sur Bosa Piamonte,51,3 077000 Cód.143 - 7 791797 -  7 779635 - 7 791788 - 7 197387 - Cel. Gerente: 317 5178213 - Cel JDS:3165313164,,,,3 820000  ,3077000 + Cód.. Oficina,44143,11001,Bogotá D.C.,Bogotá D.C.,Principal,Comercial,Bogotá Sur,BS - 01 Bogotá - Auto Sur,Bogotá Sur,Lunes a Viernes    9:00 a.m. -  3:30 p.m.  Fin de mes  9:00 a.m. - 3:00 p.m.,NO,,No,NO,2,0,0,0,Sí,No,3,X,X,X,
144,Oficina,PMP,21/10/1964,Carrera Setenta,1,Carrera 70 N° 44 - 42,54,2 601808 - 2 601805 - Cel. Gerente: 318 8757755 - Cel JDS:3155837645,,,,5 764330,,,5001,Medellín,Antioquia,Principal,Comercial,Antioquia,AN-6  Medellín Occidental,Antioquia,"Lunes a jueves 8:00 a.m. - 11:30 a.m. / 2:00 p.m.-4:00 p.m.
Viernes 8:00 a.m. -11:30 a.m. /  2:00 p.m. 4:30 p.m.
",No,,Sí,NO,1,0,0,0,Sí,No,4,X,X,X,X
145,Oficina,MB,25/06/2007,Santa Helenita,1,Avenida Calle 72 N° 80-21,51,2 517038 - 2 525099 - 2 236598 - 2 517064 - 4 342563 - 2 517038  - Cel. Gerente: 316 4266979 - Cel JDS:3186506333,4 309350,,,3 820000  ,3077000 + Cód.. Oficina,44145,11001,Bogotá D.C.,Bogotá D.C.,Principal,Comercial,Bogotá Norte,BN - 6  Bogotá - Occidental,Bogotá Norte,Lunes a Viernes    9:00 a.m. - 3:30 p.m.   Fin de Mes  9:00 a.m. - 3:00 p.m.,NO,,No,NO,1,0,0,0,Sí,No,3,X,X,X,
146,Oficina,PMP,Antes Dic de 2007,Parque Versalles Cali,1,Avenida 4 Norte N° 23 N - 80,52,4 899937 - Cel. Gerente: 318 7173957,,,,8 980077,,42096 - 42619 - 42620,76001,Cali,Valle del Cauca,Principal,Comercial,Occidente,OCC -2 Cali - Centro,Occidente,Lunes a Jueves    8.00 a.m. - 11:30 a.m. /  2:00 p.m. - 4:00 p.m.                      Viernes 8:00 a.m. - 11:30 a.m. / 2:00 p.m. - 4:30 p.m.   Fin de Mes 8.00 a.m. - 11:30 a.m. /  2:00 p.m. - 4:00 p.m.,NO,,No,NO,1,0,0,0,Sí,No,3,X,X,X,
148,Oficina,PMP,Antes Dic de 2007,Cerromatoso,1,Cerromatoso,54,7 624544 - 7 624545 - Cel. Gerente: 318 7692256 - Cel JDS:3164452483,,,,7 924600,,42057 - 42081-  8370147,23466,Montelibano,Córdoba,Población,Industrial,Costa,CO - 5  Córdoba - Sucre,Costa,"Lunes a jueves  8:00 a.m. - 11:00 a.m. / 12:00 p.m. - 3:00 p.m. Viernes  8:00 a.m. - 2:00 p.m. Jornada continua
",NO,,No,NO,1,0,0,0,No,No,,,,,
149,Oficina,MB,AL 31 DE ENERO,Villapinzon,1,Calle 4a N° 4 - 67,51,8 565143 -8 565571 - 8 565595 - Cel. Gerente: 318 3413067 - Cel JDS:3162119037,,,,3 820000  ,,8770149,25873,Villapinzón,Cundinamarca,Población,Comercial,Oriente,OR - 2 Boyacá - Norte Cundinamarca,Oriente,Lunes a Viernes    8:00 a.m. -  3:00 p.m.,NO,,No,NO,1,0,0,0,Sí,No,3,X,X,X,
150,Oficina,MB,09/08/2007,Rincón Suba,1,Calle 130 N° 90-56,51,6 858976 - 6 851631 - 6 830375 - 6 811891 - Cel. Gerente: 316 4463149 - Cel JDS:3175745642,6 851631,,,3 820000  ,3077000 + Cód.. Oficina,44150,11001,Bogotá D.C.,Bogotá D.C.,Principal,Comercial,Bogotá Norte,BN - 5  Bogotá - NorOcc.,Bogotá Norte,Lunes a Viernes    9:00 a.m. - 3:30 p.m.   Fin de mes 9:00 a.m. - 3:00 p.m,NO,,No,NO,1,0,0,0,Sí,No,3,X,X,X,
151,Oficina,PMP,24/05/1974,Centro Nelmar,1,Calle 53 N° 46-27,55,3 861801 - 3 3861803  - Cel. Gerente: 316 8640507 - Cel JDS:3167460671,,,,3 504300,, 42682 - 42683,8001,Barranquilla,Atlántico,Principal,Comercial,Costa,CO - 7 Barranquilla - Centro,Costa,Lunes a Viernes    8:00 a.m. - 3:00 p.m.   Jornada Continua,Lunes a Viernes 5:00 p.m. - 8:00 p.m.   / Sábado 9:00 a.m. - 1:00 p.m.,Caja / Plataforma,No,NO,2,1,0,0,Sí,No,4,X,X,X,X
153,Oficina,PMP,22/04/1966,Avenida de Greiff,1,Carrera  52 N° 54 - 11,54,2 312421 - 5 126894 - 2 313425 - Cel. Gerente: 318 3441547 - Cel JDS:3188080999,,,,5 764330,,42198 - 42199,5001,Medellín,Antioquia,Principal,Comercial,Antioquia,AN-2 Medellín Centro,Antioquia,Lunes a Jueves    8:00 a.m. - 11:30  a.m. / 12:00 p.m. - 4:00 p.m.                  Viernes  8:00 a.m. - 11:30 a.m.    /  12:00 m. - 4:30 p.m.,NO,,No,NO,0,0,0,0,Sí,No,4,X,X,X,X
154,Oficina,MB,Al 31 de Enero,San Antonio de Prado,1,Calle  10 N° 9 -15 Parque,54,2 868755 - 2 866610 - Cel. Gerente: 318 6496507 - Cel JDS:3166239697,,,,5 764330,,,5001,Medellín,Antioquia,Principal,Comercial,Antioquia,AN-10  Valle del Aburra sur,Antioquia,Lunes a Jueves    8:00 a.m. - 11:30  a.m. / 2:00  p.m.  -  4:00 p.m.                 Viernes  8:00 a.m.  - 11:30 a.m.   /  2:00 p.m. -  4:30 p.m. ,Sábado 9:00 a.m. - 12:00 p.m.,Caja / Plataforma,No,NO,1,0,0,0,Sí,No,3,X,X,X,
155,Oficina,MB,Al 31 de Enero,Oriente - Rio negro,1,Calle 50 N° 49 - 20 Local 2,54,6 148022 -  6 148063 - 6 148064 - Cel. Gerente: 316 4090884 - Cel JDS:3163433412,,,,5 764330,,,5615,Rionegro,Antioquia,Población,Comercial,Antioquia,AN-3 - Antioquia ,Antioquia,Lunes a Jueves    8:00 a.m.  - 11:30 a.m. / 2:00  p.m.  -   4:00 p.m.                Viernes  8:00 a.m.  - 11:30 a.m.   /  2:00 p.m. -  4:30 p.m. ,NO,,No,NO,1,0,0,0,Sí,No,3,X,X,X,
156,Oficina,MB,Al 31 de Enero,Plaza Arrayanes,1,Carrera 50ª No. 36-90 Local 219 C.C. Plaza Arrayanes,54,3 736767 - 2 778382 - Cel. Gerente: 318 6083146 - Cel JDS:3186901809,,,,5 764330,,,5360,Itagüí,Antioquia,Población,Comercial,Antioquia,AN-10  Valle del Aburra sur,Antioquia,Lunes a jueves 9:00 a.m. - 4:00 p.m. Viernes 9:00 a.m. - 4:30 p.m. – Fin de mes horario normal,NO,,No,NO,1,0,0,0,Sí,No,3,X,X,X,
157,Oficina,PMP,Antes Dic de 2007,Sotomayor,1,Carrera 30 N° 51-11,57,6 436431 - 6 430331 - Cel. Gerente: 318 7075472 - Cel JDS:3163804408,,,,6 525500,,42763 - 42764,68001,Bucaramanga,Santander,Principal,Residencial,Oriente,OR -3 Bucaramanga,Oriente,Lunes a Viernes    8:00 a.m. - 11:30 a.m. / 2:00 p.m. - 4:30 p.m.,NO,,No,NO,2,1,1,0,Sí,No,4,X,X,X,X
158,Oficina,PMP,21/02/1956,Centro Comercial del Norte,1,Avenida 3AN N° 24N - 78,52,4 854436 - Cel. Gerente: 317 4269703,4 854436 Ext. 158,,,8 980077,3077000 + Cód.. Oficina,42215 - 42216,76001,Cali,Valle del Cauca,Principal,Centro Comercial,Occidente,OCC -3 Cali - Norte,Occidente,Lunes a Jueves    8.00 a.m. - 11:30 a.m.  /  2:00 p.m. - 4:00 p.m.                      Viernes 8:00 a.m. - 11:30 a.m.  /  2:00 p.m. - 4:30 p.m.   Fin de Mes  8.00 a.m. - 11:30 a.m. /  2:00 p.m. - 4:00 p.m.             ,NO,,No,NO,1,0,0,0,Sí,No,3,X,X,X,
159,Oficina,PMP,15/12/1997,Centro Empresa,1,Calle 64 N N° 5B - 146 Local 53,52,4 899106 - Cel. Gerente: 318 5023014,,,,8 980077,,42459,76001,Cali,Valle del Cauca,Principal,Comercial,Occidente,OCC -3 Cali - Norte,Occidente,Lunes a Jueves    8.00 a.m. - 11:30 a.m. /  2:00 p.m. - 4:00 p.m.                       Viernes 8:00 a.m. - 11:30 a.m. / 2:00 p.m. - 4:30 p.m.  Fin de Mes  8.00 a.m. - 11:30 a.m. /  2:00 p.m. - 4:00 p.m.          ,NO,,No,NO,1,0,0,0,Sí,No,4,X,X,X,X
160,Oficina,MB,AL 31 DE ENERO,Avenida Boyacá,1,Avenida Boyacá  N° 43C - 47 Sur,51,3 077000 Cód 160 - 2 380810 - 2 380901 - Cel. Gerente: 315 5615250 - Cel JDS:3183907301,,,,3 820000  ,3077000 + Cód.. Oficina,44160,11001,Bogotá D.C.,Bogotá D.C.,Principal,Industrial,Bogotá Sur,BS - 01 Bogotá - Auto Sur,Bogotá Sur,Lunes a Viernes    9:00 a.m. - 3:30 p.m.   Fin de mes 9:00 a.m. - 3:00 p.m.,NO,,No,NO,1,0,0,0,Sí,No,3,X,X,X,
161,Oficina,PMP,01/12/1998,Ciudad Tunal,1,Calle  47 B Sur N° 24 B 33/95  Local 2078-2079,51,3 077000 Cód. 161 -  7 677600  - Cel. Gerente: 318 3499771 - Cel JDS:3176816494,,,,3 820000  ,3077000 + Cód.. Oficina,45861,11001,Bogotá D.C.,Bogotá D.C.,Principal,Comercial,Bogotá Sur,BS - 06 Bogotá - Zona Industrial,Bogotá Sur,Lunes a  Viernes   9:00 a.m. - 3:30  p.m. ,Lunes a Viernes 5:00 p.m. - 8:00 p.m.   / Sábado 10:00 a.m. - 4:00 p.m.,Caja,No,NO,3,1,1,1,Sí,No,4,X,X,X,X
162,Oficina,PMP,07/05/1905,Avenida Libertadores,1,Carrera 15 N° 22 - 06,57,6 979848 - 6 979849 - 6 979850- 6 979858 - Cel. Gerente: 317 4367090 - Cel JDS:3173689264,,,,6 525500,,42092 - 42218,68001,Bucaramanga,Santander,Principal,Comercial,Oriente,OR -3 Bucaramanga,Oriente,Lunes a Viernes    8:00 a.m. - 11:30 a.m. / 2:00 p.m. - 4:30 p.m.,NO,,No,NO,1,0,1,0,Sí,No,3,X,X,X,
164,Oficina,PMP,15/08/2006,Centro Comercial Calima,1,Carrera 1 calle 70,52,4 898685 - Cel. Gerente: 3174319162,,,,8 980077,,,76001,Cali,Valle del Cauca,Principal,Centro Comercial,Occidente,OCC -3 Cali - Norte,Occidente,"LLunes a jueves y fin de mes  8:00 a.m. - 11:30 a.m. / 2:00 p.m. - 4:00 p.m.   
Viernes de 8:00 a.m. a  11:30 a.m. y de 2:00 p.m. a 4:30 p.m. ",No,Caja / Plataforma,No,NO,2,0,1,1,Sí,No,4,X,X,X,X
165,Oficina,PMP,Antes Dic de 2007,Autopista El Dorado,1,Autopista el Dorado N° 100 - 35 Edificio Cimpex,51,3 077000 Cód. 165 - 4 132581 - 4 153522 -      4 156282 - Cel. Gerente: 318 8938959 - Cel JDS:3175364707,,,,3 820000  ,3077000 + Cód.. Oficina,44165,11001,Bogotá D.C.,Bogotá D.C.,Principal,Industrial,Bogotá Sur,BS - 04 Bogotá - Cl. 26,Bogotá Sur,Lunes a Viernes    9:00 a.m. - 3:30  p.m.  Fin de mes  9:00 a.m. - 3:00 p.m. ,NO,,No,lunes a viernes 12:00 p.m. a 4:00 p.m. (Todas las operaciones).  HA. Lunes a Viernes  5.00 p.m. a  8:00 p.m.  (Solo recaudo impuestos)  Sabados  9:00 a.m.  a  1:00 p.m.  (Solo recaudo impuestos) Fín de mes de 12:00 m a 3:30 pm (Solo recaudo impuestos),2,1,0,0,Sí,No,4,X,X,X,X
166,Oficina,PMP,21/10/1964,Avenida Uribe,1,Carrera 1a N° 23 - 70,52,4 899831 - Cel. Gerente: 318 2852493,Ext. 158,,,8 980077,,42221 - 42222,76001,Cali,Valle del Cauca,Principal,Industrial,Occidente,OCC -2 Cali - Centro,Occidente,Lunes a Jueves    8.00 a.m. - 11:30 a.m. /  2:00 p.m. - 4:00 p.m.                       Viernes 8:00 a.m. - 11:30 a.m. / 2:00 p.m. - 4:30 p.m.  Fin de Mes  8.00 a.m. - 11:30 a.m. /  2:00 p.m. - 4:00 p.m.         ,NO,,No,NO,1,0,0,0,Sí,No,3,x,x,x,
167,Oficina  De  Recaudos Y Pagos,PMP,21/08/2007,Oficina de Recaudos y Pagos Bello,1,Carrera 50 N° 48-37,54,2 754636,,,,5 764330,,,5088,Bello,Antioquia,Población,,Antioquia,,Antioquia,Lunes a Jueves    8:00 a.m.  - 4:00  p.m.  Viernes  8:00 a.m. -  4:30 p.m.      Jornada Continua ,Lunes a Viernes 5:00 p.m. - 7:00 p.m.   / Sábado 9:00 a.m. - 1:00 p.m.,Caja,No,NO,1,0,0,0,No,No,2,X,,,X
168,Oficina,PMP,Antes Dic de 2007,Barrancabermeja,1,Transversal 6 N° 9-11,57,6 223033 - 6 224272  - 6 224953 - Cel. Gerente: 318 7073263 - Cel JDS:3188096744 - Cel JDS HA: 3162428811,6 229096,,,6 525500,, 42098 - 42223-42224,68081,Barrancabermeja,Santander,Población,Comercial,Oriente,OR -4 Magdalena Medio Orien.,Oriente,Lunes a Viernes    8:00 a.m. - 11:30 a.m. / 2:00 p.m. - 4:30 p.m.,Lunes a Viernes 5:30 p.m. - 8:00 p.m.   / Sábado 9:00 a.m. - 1:00 p.m.,Caja / Plataforma,No,NO,4,0,0,0,Sí,No,4,X,X,X,X
170,Oficina,PMP,29/08/1928,Barranquilla,1,Calle 35 N° 43-51 Local 44,55,3 859807 - 3 859808 - 3 859809 - 3 859813 - Cel. Gerente: 316 5376707 - Cel JDS:3154712957,,,,3 504300,,42005 - 42099 - 42225 - 42582,8001,Barranquilla,Atlántico,Principal,Comercial,Costa,CO - 2 Barranquilla - Sur,Costa,Lunes a Jueves y Fin de mes  8:00a.m. - 11:30 a.m. / 2:00 p.m. - 4:00 p.m.   Viernes 8:00 a.m. - 11:30 a.m. / 2:00 p.m. - 4:30 p.m.,Sábado  9:00 a.m. - 1:00 p.m.,,No,NO,2,0,1,1,Sí,No,4,X,X,X,X
171,Oficina,MB,AL 31 DE ENERO,Carrera 19 Avenida Primera de Mayo,1,Carrera 19 N° 20-02 sur,51,3 077000 Cód. 171 - 2 393581 - 3 724700 - Cel. Gerente: 315 2607109 - Cel JDS:3183917992,,,,3 820000  ,3077000 + Cód.. Oficina,44171,11001,Bogotá D.C.,Bogotá D.C.,Principal,Comercial,Bogotá Sur,BS - 07 Bogotá - Sur Oriental,Bogotá Sur,Lunes a Viernes    9:00 a.m. - 3:30 p.m.   Fin de Mes 9:00 a.m. - 3:00 p.m.  ,NO,,No,NO,2,0,0,0,Sí,No,3,X,X,X,
172,Oficina,PMP,27/10/1964,Punto Clave,1,Calle 27 N° 46-70 Locales 243 - 245 - 247,54,2 322151 - 2 320483 -  2 322301 -  2 626660 - Cel. Gerente: 318 4320114 - Cel JDS:3157930520,,,,5 764330,,,5001,Medellín,Antioquia,Principal,Comercial,Antioquia,AN-6  Medellín Occidental,Antioquia,"Jornada continua Lunes a Jueves 9:00 a.m. - 4:00 p.m.  Viernes 9:00 a.m. -  4:30 p.m.
",,Caja / Plataforma,No,NO,1,0,0,0,Sí,No,3,X,X,X,
173,Oficina,PMP,09/10/1983,Boulevard 54,1,Calle 75 N° 54-22,55,3 856033 - 3 856036 Pbx 3 856035 - Cel. Gerente: 316 2276712 - Cel JDS:3158863582,,,,3 504300,,42104 - 42626 - 42627,8001,Barranquilla,Atlántico,Principal,Comercial,Costa,CO - 1 Barranquilla - Centro,Costa,Lunes a Jueves y Fin de mes 8:00 a.m. - 11:30 a.m. / 2:00 p.m. -  4:00 p.m.  Viernes 8:00 a.m. - 11:30 a.m. / 2:00 p.m. - 4:30 p.m. ,Sábado  9:00 a.m. - 1:00 p.m.,Caja / Plataforma,No,NO,1,1,1,0,Sí,No,4,X,X,X,X
174,Oficina,MB,AL 31 DE ENERO,Santa Lucia,1,Avenida Caracas N° 45 F 34 Sur,51,3 077000 Cód. 174 - 7 606161  - 7 608370 - 7 609361 - Cel. Gerente: 318 7078104 - Cel JDS:3163339366,,,,3 820000  ,3077000 + Cód.. Oficina,44174,11001,Bogotá D.C.,Bogotá D.C.,Principal,Comercial,Bogotá Sur,BS - 07 Bogotá - Sur Oriental,Bogotá Sur,Lunes a Viernes    9:00 a.m. - 3:30 p.m.   Fin de mes 9:00 a.m. - 3:00 p.m.,NO,,No,NO,1,0,0,0,Sí,No,3,X,X,X,
175,Oficina,PMP,15/05/2006,Las Lunas,1,Calle 16 N° 10-87  Pasto,52,"7 374360 Extensiones: GER 102, JDS 104, AOCO 141, AVS1 131, AVS2 132 Cel. Gerente: 318 4568741
",,,,7 239686,,,52001,Pasto,Nariño,Intermedia,Comercial,Occidente,OCC - 6 Nariño - Cauca,Occidente,Lunes a Jueves    8.00 a.m. - 11:30 a.m. /  2:00 p.m. - 4:00 p.m.                       Viernes 8:00 a.m. - 11:30 a.m. / 2:00 p.m. - 4:30 p.m.  Fin de Mes  8:00 a.m. - 11:30 a.m. /  2:00 p.m. - 4:00 p.m.       ,NO,,No,NO,1,0,0,0,Sí,No,3,X,X,X,
178,Oficina,PMP,15/01/1953,Bello,1,Calle 50 N° 49 - 35 Parque Principal,54, 2 751030 - 2 753543 - 2 750759 - Cel. Gerente: 318 366149 - Cel JDS:3174047131,,,,5 764330,,42044 - 42232,5088,Bello,Antioquia,Población,Comercial,Antioquia,AN-5  Valle del Aburra- NortOcc,Antioquia,Lunes a Jueves  8:00 a.m. - 11:30 a.m.  /  2:00 p.m.  -  4:00 p.m. Viernes  8:00 a.m. -  11:30 a.m.  /  2:00 p.m.  -  4:30 p.m.,NO,,No,NO,2,0,0,0,Sí,No,4,X,X,X,X
179,Oficina,MB,AL 31 DE ENERO,"Centro Comercial CasaBlanca
",1,Calle 7 N° 1 - 91 Local 27,51,8205851 -  8205852 -  8205854 -  82058551- Cel. Jds: 317 4416220 - Cel JDS:3183610722,,,,3 820000  ,,8770179,25430,Madrid,Cundinamarca,Población,Comercial,Central, CE - 1 Cundinamarca,Central,Lunes a viernes  10:30 a.m. - 3:00 p.m.,"Lunes a viernes  4:30 p.m. - 6:30 p.m.
Sábado  10:30 a.m. -  2:00 p.m.
",,No,NO,3,0,0,0,Sí,No,3,X,X,X,
180,Oficina,PMP,Antes Dic de 2007,Cali Centro,1,Carrera 5a N° 10 - 39,52,8 987330 - Cel. Gerente: 317 4363456,,,,8 980077,,42629,76001,Cali,Valle del Cauca,Principal,Comercial,Occidente,OCC -2 Cali - Centro,Occidente,Lunes a Jueves    8.00 a.m. - 11:30 a.m. /  2:00 p.m. - 4:00 p.m.                       Viernes 8:00 a.m. - 11:30 a.m. / 2:00 p.m. - 4:30 p.m.  Fin de Mes   8.00 a.m. - 11:30 a.m. /  2:00 p.m. - 4:00 p.m.       ,NO,,No,NO,2,1,1,1,Sí,No,4,X,X,X,X
181,Oficina,MB,AL 31 DE ENERO,Puerto Tejada,1,Calle 16 N° 20 - 12,52,8 283275 - 8 281990 - Cel. Gerente: 317 6456091,,,,,,,19573,Puerto Tejada,Cauca,Población,Comercial,Occidente,OCC - 5 Cali - Sur,Occidente,Lunes a Jueves    8.00 a.m. - 11:30 a.m. /  2:00 p.m. - 4:00 p.m.                       Viernes 8:00 a.m. - 11:30 a.m. / 2:00 p.m. - 4:30 p.m. Fin de Mes   8.00 a.m. - 11:30 a.m. /  2:00 p.m. - 4:00 p.m.                                                                                                                     ,Sábado 9:00 a.m. - 12:00 p.m.,Caja / Plataforma,No,NO,6,0,0,0,Sí,No,3,X,X,X,
182,Oficina,PMP,29/03/1965,Bocagrande,1,Avenida San Martin Carrera 2a N° 7 - 23 - Bocagrande,55,6 654585 - Cel. Gerente: 317 6436073 - Cel JDS:3174953160,,,,6 642010,,42233 - 42234,13001,Cartagena,Bolívar,Intermedia,Comercial,Costa,"CO - 3 Bolívar, San Andrés y Providencia",Costa,Lunes a Jueves y Fin de mes  8:00 a.m. - 11:30 a.m. / 2:00 p.m. - 4:00 p.m.  Viernes  8:00 a.m. - 11:30 a.m. / 2:00 p.m. -  4:30 p.m.,Sábado 9:00 a.m. - 1:00 p.m.,Caja / Plataforma,No,No,1,1,0,0,Sí,No,3,X,X,X,
183,Oficina,PMP,03/05/1972,Bosconia,1,Calle 18 N° 18-25,55,5 779002 - Cel. Gerente: 318 6732571 - Cel JDS:3162213788,,,,,,42625,20060,Bosconia,Cesar,Población,Comercial,Costa,CO - 4 Cesar,Costa,Lunes a Jueves  y Fin de mes  8:00 a.m. - 11:30 a.m. / 2:00 p.m. - 4:00 p.m. Viernes  8:00 a.m. - 11:30 a.m. / 2:00 p.m. - 4.30 p.m. ,Sábado 9:00 a.m. - 12:00 p.m.,Caja / Plataforma,No,NO,2,0,0,0,No,No,3,X,X,X,
184,Oficina,PMP,13/02/1943,Bucaramanga,1,Carrera 17 N° 35-06,57,6 309409-6 309410-6 309411 - 6 309412 - 9 309413 -9 309414  - 6 309416 - 6 309417 - Cel. Gerente: 317 4350309 - Cel JDS:3186149553 - Cel JOP: 3188324329,,,,6 525500,,42070 - 42108 - 42235 - 44184,68001,Bucaramanga,Santander,Principal,Comercial,Oriente,OR -3 Bucaramanga,Oriente,Lunes a Viernes    8:00 a.m. - 11:30 a.m. / 2:00 p.m. - 4:30 p.m.,NO,,No,NO,3,1,1,0,Sí,No,4,X,X,X,X
185,Oficina,MB,AL 31 DE ENERO,Calle 63 Siete de Agosto,1,Carrera 24 N° 63D-53,51,2 351299 - 2 559581 - 2 128448 - Cel. Gerente: 315 7003120 - Cel JDS:3183832236,,,,3 820000  ,3077000 + Cód.. Oficina,44185,11001,Bogotá D.C.,Bogotá D.C.,Principal,Comercial,Bogotá Norte,BN- 2  Bogotá -  Chapinero,Bogotá Norte,Lunes a Viernes    9:00 a.m. - 3:30 p.m.   Fin de mes 9:00 a.m. - 3:00 p.m.,NO,,No,NO,1,1,0,0,Sí,No,3,X,X,X,
186,Oficina,PMP,03/11/1942,Vistamar Buenaventura,1,Carrera 2 N° 3 - 47 Locales 101 - 102,52,2 424360 - Cel. Gerente: 316 5220354,,,,,,42105 - 42237 - 42238,76109,Buenaventura,Valle del Cauca,Población,Comercial,Occidente,OCC -7 Valle del Cauca ,Occidente,Lunes a Jueves    8.00 a.m. - 11:30 a.m. /  2:00 p.m. - 4:00 p.m.                       Viernes 8:00 a.m. - 11:30 a.m. / 2:00 p.m. - 4:30 p.m.  Fin de Mes  8.00 a.m. - 11:30 a.m. /  2:00 p.m. - 4:00 p.m.         ,NO,,No,NO,2,0,0,0,Sí,No,3,X,X,X,
